Timestamp,1. open,2. high,3. low,4. close,5. volume
28-02-2013,459.11,484.94,437.66,441.4,333715500
31-01-2013,553.82,555,435,455.49,468693700
31-12-2012,593.65,594.59,501.23,532.1729,433312600
30-11-2012,598.22,603,505.7501,585.28,461780400
31-10-2012,671.5,676.75,587.7,595.32,433672500
28-09-2012,665.76,705.07,656,667.105,328535900
31-08-2012,615.905,680.87,600.25,665.24,295578800
31-07-2012,584.73,619.87,570,610.76,318201800
29-06-2012,569.16,590,548.5,584,280565200
31-05-2012,584.9,596.76,522.18,577.73,396655200
30-04-2012,601.83,644,555,583.98,557106800
30-03-2012,548.17,621.45,516.221,599.55,556583500
29-02-2012,458.41,547.61,453.98,542.44,406019800
31-01-2012,409.4,458.24,409,456.48,244994800
30-12-2011,382.54,409.09,377.68,405,225233300
30-11-2011,397.41,408,363.32,382.2,320132200
31-10-2011,380.37,426.7,354.24,404.78,469336700
30-09-2011,385.82,422.86,366.48,381.32,427766000
31-08-2011,397.78,399.5,353.02,384.83,576521400
29-07-2011,335.95,404.5,334.2,390.48,380498100
30-06-2011,348.87,352.132,310.5,335.67,330851800
31-05-2011,349.74,351.83,329.42,347.83,246859300
29-04-2011,351.11,355.13,320.16,350.13,330493900
31-03-2011,355.47,361.67,326.26,348.5075,403802100
28-02-2011,341.3,364.9,337.72,353.21,331998200
31-01-2011,325.64,348.6,324.8365,339.32,387197700
31-12-2010,315.27,326.66,314.89,322.56,249044100
30-11-2010,302.22,321.3,297.76,311.15,339574500
29-10-2010,283.75,319,277.77,300.98,436949200
30-09-2010,247.47,294.73,246.28,283.75,423211400
31-08-2010,260.44,264.28,235.56,243.1,342468600
30-07-2010,254.3,265.99,239.6,257.25,559632300
30-06-2010,259.69,279.01,242.2,251.53,594687600
28-05-2010,263.84,267.88,199.25,256.88,645809100
30-04-2010,237.49,272.46,232.75,261.09,441683200
31-03-2010,205.75,237.48,205.45,235,434077600
26-02-2010,192.37,205.17,190.85,204.62,384860000
29-01-2010,213.43,215.59,190.25,192.063,541749800
31-12-2009,202.24,213.95,188.68,210.732,406927100
30-11-2009,189.8,208,185.57,199.91,301956600
30-10-2009,185.35,208.7099,180.7,188.5,462720600
30-09-2009,167.99,188.9,164.11,185.35,356761400
31-08-2009,165.21,172.49,159.42,168.21,291611600
31-07-2009,143.5,165,134.42,163.39,390790600
30-06-2009,136.47,146.4,132.88,142.43,452699000
29-05-2009,125.8,135.9,119.38,135.81,337755100
30-04-2009,104.09,127.2,103.89,125.83,422202900
31-03-2009,89.31,109.98,82.33,105.12,550878500
27-02-2009,89.1,103,86.51,89.31,495266100
30-01-2009,85.88,97.17,78.2,90.13,646633600
31-12-2008,91.3,103.6,84.55,85.35,721923100
28-11-2008,105.93,111.79,79.14,92.67,843552200
31-10-2008,111.92,116.4,85,107.59,1479525400
30-09-2008,172.4,173.5,100.59,113.66,859555800
29-08-2008,159.94,180.45,152.91,169.53,467348400
31-07-2008,164.05,180.91,146.53,158.95,705348600
30-06-2008,188.5,189.95,164.15,167.44,695564100
30-05-2008,175.01,192.24,172,188.75,663864800
30-04-2008,146.3,180,143.61,173.95,813820800
31-03-2008,124.44,145.74,118,143.5,818831200
29-02-2008,136.24,136.59,115.44,125.02,888069800
31-01-2008,199.27,200.26,126.14,135.36,1256210300
31-12-2007,181.86,202.96,176.99,198.08,616167100
30-11-2007,188.6,192.68,150.63,182.22,935706800
31-10-2007,154.63,190.12,152.93,189.95,831349700
28-09-2007,139.94,155,130,153.47,747543700
31-08-2007,133.64,139.65,111.62,138.48,870028500
31-07-2007,121.05,148.92,119.3,131.76,857806200
29-06-2007,121.1,127.61,115.4,122.04,831412200
31-05-2007,99.59,122.17,98.55,121.191,620181000
30-04-2007,94.14,102.5,89.6,99.8,480705000
30-03-2007,84.03,96.83,83.75,92.91,568523000
28-02-2007,86.23,90.81,82.86,84.61,490084100
31-01-2007,86.29,97.8,81.9,85.73,971777900
29-12-2006,91.8,92.33,76.77,84.84,603242600
30-11-2006,81.1,93.159,77.79,91.66,494103000
31-10-2006,75.1,82.6,72.6,81.08,513855600
29-09-2006,68.48,77.78,67.82,76.98,632912800
31-08-2006,67.22,70,62.58,67.85,638844500
31-07-2006,57.52,68.63,50.16,67.96,624276500
30-06-2006,59.85,63.1,55.41,57.27,640593700
31-05-2006,70.78,73.8,58.69,59.77,557456400
28-04-2006,63.66,72.05,61.05,70.39,718545800
31-03-2006,69,69.99,57.67,62.72,828308300
28-02-2006,75,76.46,62.9,68.49,670024900
31-01-2006,72.332,86.4,70.87,75.51,781370400
30-12-2005,68.95,75.46,68.81,71.89,466577300
30-11-2005,57.24,71.07,56.87,67.82,480586700
31-10-2005,54.16,57.98,47.87,57.59,665837400
30-09-2005,47,54.56,46.09,53.61,440991800
31-08-2005,42.6,48.33,42.02,46.89,335743100
29-07-2005,36.83,44.38,36.29,42.65,360508800
30-06-2005,39.89,40.76,35.52,36.81,404542700
31-05-2005,36.21,40.94,33.11,39.7593,459224800
29-04-2005,42.09,44.45,34,36.06,691982800
31-03-2005,44.99,45.11,38.83,41.67,524140000
28-02-2005,77.05,90.88,43.96,44.86,383016900
31-01-2005,64.78,77.89,62.6,76.9,459075800
31-12-2004,67.79,67.95,61.6,64.4,284796700
30-11-2004,52.5,69.57,52.04,67.05,311421500
29-10-2004,39.15,53.2,37.65,52.4,287399400
30-09-2004,34.3,39.27,34.19,38.75,137026900
31-08-2004,31.18,35.18,29.7,34.49,143060100
30-07-2004,32.08,33.63,28.74,32.34,173153200
30-06-2004,27.79,34.19,27.61,32.54,146914900
28-05-2004,26,28.78,25.5,28.06,94719200
30-04-2004,26.9,29.58,25.49,25.78,159467400
31-03-2004,24.09,28.14,23.6,27.04,207609200
27-02-2004,22.46,24.1,21.7,23.92,87893400
30-01-2004,21.55,24.84,21.18,22.56,141567900
31-12-2003,21.04,21.9,19.25,21.37,97390600
28-11-2003,22.83,23.3,19.85,20.91,88823300
31-10-2003,20.75,25.011,20.19,22.89,125717700
30-09-2003,22.66,23.32,20.149,20.72,95490800
29-08-2003,21,22.85,19.42,22.61,76920800
31-07-2003,18.87,21.57,18.51,21.08,93183400
30-06-2003,18.1,19.69,16.63,19.06,109166700
30-05-2003,14.25,19,14,17.95,193063300
30-04-2003,14.2,14.95,12.72,14.22,138845400
31-03-2003,15.01,15.16,14.04,14.14,71935800
28-02-2003,14.41,15.3,13.8,15.01,73469700
31-01-2003,14.36,15.38,13.56,14.36,107961300
31-12-2002,15.9,16.1,13.78,14.33,80900700
29-11-2002,15.94,17.38,15.01,15.5,80923600
31-10-2002,14.59,16.44,13.36,16.07,118061300
30-09-2002,14.49,15.19,14.05,14.5,94497100
30-08-2002,15.11,16.25,13.97,14.75,91994400
31-07-2002,17.71,18.79,13.8,15.26,144971700
28-06-2002,23.39,23.45,15.98,17.72,155500300
